ticker,dimension,calendardate,datekey,reportperiod,fiscalperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital,permaticker,sid
AAPL,ARQ,1998-03-31,1998-05-11,1998-03-27,1998-Q2,2025-10-31,0.0,3963000000.0,,3213000000.0,750000000.0,,0.094,-5000000.0,1285000000.0,1285000000.0,1056000000.0,55000000.0,2.322,1.855,976000000.0,23000000.0,953000000.0,976000000.0,0.0,28000000.0,0.0,0.0,0.0,59000000.0,87000000.0,0.062,87000000.0,59000000.0,59000000.0,0.004,0.003,0.004,1388000000.0,,1388000000.0,3807275514.0,-34.0,475.909,148000000.0,0.01,1.0,349000000.0,0.248,0.0,0.0,2270000000.0,,257000000.0,538000000.0,538000000.0,0.0,2575000000.0,1384000000.0,1191000000.0,4116275514.0,92000000.0,0.0,11000000.0,0.0,0.0,11000000.0,-72000000.0,-104000000.0,153000000.0,0.0,55000000.0,55000000.0,55000000.0,0.0,0.0,0.039,298000000.0,51000000.0,523000000.0,0.0,2.966,-35.794,-35.057,415000000.0,0.0,0.276,0.65,0.645,807000000.0,691000000.0,1405000000.0,1405000000.0,75000000.0,,,,,0.0,223000000.0,1.0,14900544848.0,14780528000.0,16342480000.0,0.095,3963000000.0,201000000.0,4000000.0,238000000.0,0.268,1829000000.0,199059.0,199059
AAPL,ARQ,1998-06-30,1998-08-10,1998-06-26,1998-Q3,2025-10-31,0.0,4041000000.0,,3375000000.0,666000000.0,,0.1,17000000.0,1203000000.0,1203000000.0,1042000000.0,101000000.0,2.43,1.719,953000000.0,0.0,953000000.0,953000000.0,0.0,32000000.0,0.0,0.0,0.0,109000000.0,141000000.0,0.101,141000000.0,109000000.0,109000000.0,0.007,0.006,0.007,1486000000.0,,1486000000.0,4858218153.0,90.0,26.548,173000000.0,0.012,1.0,360000000.0,0.257,0.0,0.0,2402000000.0,,129000000.0,790000000.0,790000000.0,0.0,2555000000.0,1389000000.0,1166000000.0,5108218153.0,-82000000.0,24000000.0,2000000.0,-23000000.0,0.0,-21000000.0,-217000000.0,-252000000.0,156000000.0,0.0,101000000.0,101000000.0,101000000.0,0.0,0.0,0.072,299000000.0,61000000.0,573000000.0,0.0,3.438,121.624,118.86,365000000.0,0.0,0.339,0.852,0.842,915000000.0,792000000.0,1402000000.0,1402000000.0,76000000.0,,,,,0.0,216000000.0,1.0,15079610784.0,14903616000.0,19240032000.0,0.094,4041000000.0,192000000.0,8000000.0,213000000.0,0.271,1986000000.0,199059.0,199059
AAPL,ARQ,1998-09-30,1998-12-23,1998-09-25,1998-Q4,2025-10-31,0.0,4289000000.0,,3698000000.0,591000000.0,,0.109,-7000000.0,1481000000.0,1481000000.0,1139000000.0,106000000.0,2.433,1.612,954000000.0,0.0,954000000.0,954000000.0,0.0,23000000.0,0.0,0.0,0.0,114000000.0,137000000.0,0.088,137000000.0,114000000.0,114000000.0,0.007,0.006,0.007,1642000000.0,,1642000000.0,4860892321.0,15.0,11.047,316000000.0,0.021,1.0,417000000.0,0.268,0.0,0.0,2242000000.0,,78000000.0,819000000.0,819000000.0,0.0,2647000000.0,1520000000.0,1127000000.0,5387892321.0,278000000.0,-24000000.0,27000000.0,1000000.0,0.0,28000000.0,-73000000.0,-5000000.0,323000000.0,0.0,106000000.0,106000000.0,106000000.0,0.0,0.0,0.068,308000000.0,109000000.0,719000000.0,0.0,3.281,17.437,17.01,348000000.0,0.0,0.355,0.907,0.884,955000000.0,898000000.0,1556000000.0,1556000000.0,73000000.0,,,,,0.0,235000000.0,1.0,15155815248.0,15118096000.0,18806704000.0,0.103,4289000000.0,182000000.0,8000000.0,173000000.0,0.284,2178000000.0,199059.0,199059
AAPL,ARQ,1998-12-31,1999-02-08,1998-12-26,1999-Q1,2025-10-31,86000000.0,4592000000.0,,3867000000.0,725000000.0,,0.127,-5000000.0,1221000000.0,1221000000.0,1228000000.0,152000000.0,2.606,1.388,954000000.0,0.0,954000000.0,954000000.0,0.0,23000000.0,0.0,0.0,0.0,169000000.0,192000000.0,0.112,192000000.0,169000000.0,169000000.0,0.01,0.009,0.01,1923000000.0,,1923000000.0,4881927513.0,11.0,8.765,218000000.0,0.014,1.0,482000000.0,0.282,0.0,0.0,2841000000.0,,25000000.0,1357000000.0,1357000000.0,0.0,2669000000.0,1484000000.0,1185000000.0,5148927513.0,-260000000.0,37000000.0,3000000.0,0.0,0.0,3000000.0,-486000000.0,-538000000.0,223000000.0,0.0,152000000.0,152000000.0,152000000.0,0.0,0.0,0.089,355000000.0,127000000.0,655000000.0,0.0,2.678,12.437,12.188,344000000.0,0.0,0.337,0.848,0.841,913000000.0,1050000000.0,1710000000.0,1710000000.0,76000000.0,,,,,0.0,279000000.0,1.0,15278716656.0,15150240000.0,19270944000.0,0.113,4592000000.0,166000000.0,17000000.0,231000000.0,0.303,2383000000.0,199059.0,199059
AAPL,ARQ,1999-03-31,1999-05-11,1999-03-27,1999-Q2,2025-10-31,168000000.0,4935000000.0,,4092000000.0,843000000.0,,0.142,1000000.0,1358000000.0,1358000000.0,1127000000.0,135000000.0,2.65,1.269,955000000.0,0.0,955000000.0,955000000.0,0.0,24000000.0,0.0,0.0,0.0,153000000.0,177000000.0,0.116,177000000.0,153000000.0,153000000.0,0.009,0.007,0.009,2175000000.0,,2175000000.0,5729563332.0,11.0,8.856,270000000.0,0.018,1.0,403000000.0,0.263,0.0,0.0,2988000000.0,,18000000.0,1564000000.0,1564000000.0,0.0,2760000000.0,1544000000.0,1216000000.0,6132563332.0,137000000.0,59000000.0,32000000.0,1000000.0,0.0,33000000.0,-165000000.0,-207000000.0,269000000.0,0.0,135000000.0,135000000.0,135000000.0,0.0,0.0,0.088,324000000.0,79000000.0,791000000.0,0.0,2.82,12.414,12.217,330000000.0,0.0,0.4,0.989,0.984,804000000.0,1185000000.0,1530000000.0,1530000000.0,76000000.0,,,,,0.0,239000000.0,1.0,15350596576.0,15273552000.0,19398848000.0,0.1,4935000000.0,154000000.0,18000000.0,261000000.0,0.323,2548000000.0,199059.0,199059
AAPL,ARQ,1999-06-30,1999-08-06,1999-06-26,1999-Q3,2025-10-31,92000000.0,5019000000.0,,4298000000.0,721000000.0,,0.184,-6000000.0,1773000000.0,1773000000.0,1131000000.0,203000000.0,2.793,0.69,300000000.0,0.0,300000000.0,300000000.0,0.0,19000000.0,0.0,0.0,0.0,229000000.0,248000000.0,0.159,248000000.0,229000000.0,229000000.0,0.013,0.011,0.013,2970000000.0,,2970000000.0,7234485357.0,11.0,9.595,82000000.0,0.005,1.0,427000000.0,0.274,0.0,0.0,2007000000.0,,7000000.0,1333000000.0,1333000000.0,0.0,2049000000.0,1539000000.0,510000000.0,8707485357.0,415000000.0,105000000.0,6000000.0,-1000000.0,0.0,5000000.0,322000000.0,231000000.0,88000000.0,0.0,203000000.0,203000000.0,203000000.0,0.0,0.0,0.13,323000000.0,104000000.0,792000000.0,0.0,2.932,14.61,12.552,313000000.0,0.0,0.483,1.37,1.227,896000000.0,1388000000.0,1558000000.0,1558000000.0,80000000.0,,,,,0.0,243000000.0,1.0,18018593600.0,16134048000.0,19560800000.0,0.097,5019000000.0,137000000.0,26000000.0,210000000.0,0.311,2759000000.0,199059.0,199059
AAPL,ARQ,1999-09-30,1999-12-22,1999-09-25,1999-Q4,2025-10-31,106000000.0,5161000000.0,,4285000000.0,876000000.0,,0.177,-14000000.0,1326000000.0,1326000000.0,952000000.0,111000000.0,2.766,0.663,300000000.0,0.0,300000000.0,300000000.0,0.0,19000000.0,0.0,0.0,0.0,125000000.0,144000000.0,0.108,144000000.0,125000000.0,125000000.0,0.006,0.005,0.006,3104000000.0,,3104000000.0,15078939889.0,22.0,19.815,204000000.0,0.012,1.0,384000000.0,0.287,0.0,0.0,2586000000.0,,20000000.0,1900000000.0,1900000000.0,0.0,2057000000.0,1549000000.0,508000000.0,16104939889.0,-447000000.0,-201000000.0,-30000000.0,0.0,0.0,-30000000.0,-635000000.0,-434000000.0,218000000.0,0.0,111000000.0,111000000.0,111000000.0,0.0,0.0,0.083,335000000.0,49000000.0,812000000.0,0.0,5.188,26.797,23.793,318000000.0,0.0,0.892,2.626,2.332,681000000.0,1499000000.0,1336000000.0,1336000000.0,82000000.0,,,,,0.0,235000000.0,1.0,18049806544.0,17574480000.0,19786592000.0,0.076,5161000000.0,143000000.0,14000000.0,208000000.0,0.294,2736000000.0,199059.0,199059
AAPL,ARQ,1999-12-31,2000-02-01,2000-01-01,2000-Q1,2025-10-31,1237000000.0,7586000000.0,,4909000000.0,2677000000.0,,0.245,-38000000.0,1586000000.0,1586000000.0,1736000000.0,183000000.0,2.498,0.719,300000000.0,0.0,300000000.0,300000000.0,0.0,20000000.0,0.0,0.0,0.0,274000000.0,294000000.0,0.125,294000000.0,274000000.0,274000000.0,0.01,0.009,0.01,4414000000.0,,4414000000.0,14918914177.0,19.0,17.287,335000000.0,0.019,1.0,607000000.0,0.259,0.0,0.0,4335000000.0,,15000000.0,4214000000.0,2074000000.0,2140000000.0,3172000000.0,1965000000.0,1207000000.0,16204914177.0,260000000.0,0.0,-24000000.0,0.0,0.0,-24000000.0,-89000000.0,-38000000.0,373000000.0,0.0,183000000.0,183000000.0,183000000.0,0.0,0.0,0.078,507000000.0,100000000.0,1174000000.0,0.0,3.671,25.641,23.867,318000000.0,0.0,0.895,2.395,2.385,892000000.0,1682000000.0,2343000000.0,2343000000.0,90000000.0,,,,,0.0,319000000.0,1.0,18106049360.0,18036368000.0,19982704000.0,0.13,7586000000.0,131000000.0,91000000.0,907000000.0,0.421,2944000000.0,199059.0,199059
AAPL,ARQ,2000-03-31,2000-05-11,2000-04-01,2000-Q2,2025-10-31,731000000.0,7007000000.0,,4912000000.0,2095000000.0,,0.232,-17000000.0,1662000000.0,1662000000.0,1396000000.0,233000000.0,2.651,0.662,300000000.0,0.0,300000000.0,300000000.0,0.0,21000000.0,0.0,0.0,0.0,319000000.0,340000000.0,0.175,340000000.0,319000000.0,319000000.0,0.013,0.011,0.013,4215000000.0,,4215000000.0,15370656876.0,16.0,14.981,44000000.0,0.002,1.0,549000000.0,0.282,0.0,0.0,3792000000.0,,10000000.0,3491000000.0,1947000000.0,1544000000.0,2792000000.0,1853000000.0,939000000.0,16732656876.0,76000000.0,237000000.0,30000000.0,0.0,0.0,30000000.0,-15000000.0,-225000000.0,61000000.0,0.0,233000000.0,233000000.0,233000000.0,0.0,0.0,0.12,379000000.0,170000000.0,1111000000.0,0.0,3.97,22.921,22.067,314000000.0,0.0,0.918,2.33,2.322,940000000.0,1915000000.0,1945000000.0,1945000000.0,92000000.0,,,,,0.0,287000000.0,1.0,18227295072.0,18163264000.0,20383216000.0,0.107,7007000000.0,131000000.0,86000000.0,639000000.0,0.386,3059000000.0,199059.0,199059
AAPL,ARQ,2000-06-30,2000-07-31,2000-07-01,2000-Q3,2025-10-31,535000000.0,6932000000.0,,5157000000.0,1775000000.0,,0.229,-10000000.0,1344000000.0,1344000000.0,1282000000.0,200000000.0,2.753,0.66,300000000.0,0.0,300000000.0,300000000.0,0.0,25000000.0,0.0,0.0,0.0,270000000.0,295000000.0,0.162,295000000.0,270000000.0,270000000.0,0.011,0.01,0.011,4176000000.0,,4176000000.0,15466377808.0,16.0,14.414,224000000.0,0.012,1.0,543000000.0,0.298,0.0,0.0,4015000000.0,,5000000.0,3718000000.0,2482000000.0,1236000000.0,2756000000.0,1873000000.0,883000000.0,16510377808.0,-318000000.0,51000000.0,-47000000.0,0.0,0.0,-47000000.0,-505000000.0,-551000000.0,234000000.0,0.0,200000000.0,200000000.0,200000000.0,0.0,0.0,0.11,375000000.0,168000000.0,1040000000.0,0.0,3.954,22.71,22.625,314000000.0,0.0,0.907,2.216,2.217,967000000.0,2115000000.0,1825000000.0,1825000000.0,97000000.0,,,,,0.0,278000000.0,1.0,18198267080.0,18202240000.0,20261752000.0,0.1,6932000000.0,162000000.0,70000000.0,583000000.0,0.381,3284000000.0,199059.0,199059
