,open,high,low,close,volume
2023-01-03,130.28,130.9,124.17,123.224,111896000
2023-01-04,126.89,128.656,125.08,124.495,88452000
2023-01-05,127.13000000000001,127.77,124.76,123.175,79945000
2023-01-06,126.01,130.29,124.89,127.70700000000001,86819000
2023-01-09,130.465,133.41,129.89000000000001,128.229,70497000
2023-01-10,130.26,131.264,128.12,128.8,63428000
2023-01-11,131.25,133.51,130.46,131.52,69114000
2023-01-12,133.88,134.26,131.44,131.441,71248000
2023-01-13,132.03,134.92000000000002,131.66,132.77100000000002,57619000
2023-01-17,134.83,137.29,134.13,133.933,63413000
2023-01-18,136.815,138.61,135.03,133.214,68708000
2023-01-19,134.08,136.25,133.77,133.273,58069000
2023-01-20,135.28,138.02,134.22,135.835,79805000
2023-01-23,138.12,143.315,137.9,139.02700000000002,81560000
2023-01-24,140.305,143.16,140.3,140.42600000000002,63683000
2023-01-25,140.89000000000001,142.43,138.81,139.766,64686000
2023-01-26,143.17000000000002,144.25,141.9,141.835,53630000
2023-01-27,143.155,147.23,143.08,143.776,70387000
2023-01-30,144.955,145.55,142.85,140.889,62974000
2023-01-31,142.70000000000002,144.34,142.28,142.16,65560000
2023-02-01,143.97,146.61,141.32,143.28300000000002,76745000
2023-02-02,148.9,151.18,148.17000000000002,148.594,102384000
2023-02-03,148.03,157.38,147.83,152.22,153457000
2023-02-06,152.57500000000002,153.1,150.78,149.49,68014000
2023-02-07,150.64000000000001,155.23,150.64000000000001,152.367,83109000
2023-02-08,153.88,154.58,151.168,149.678,63384000
2023-02-09,153.775,154.33,150.42000000000002,148.643,54894000
2023-02-10,149.46,151.34,149.22,149.008,57344000
2023-02-13,150.952,154.26,150.92000000000002,151.81,61854000
2023-02-14,152.12,153.77,150.86,151.169,60250000
2023-02-15,153.11,155.5,152.88,153.27,65471000
2023-02-16,153.51,156.33,153.347,151.672,66819000
2023-02-17,152.35,153.0,150.85,150.52700000000002,58755000
2023-02-21,150.20000000000002,151.3,148.405,146.511,62154000
2023-02-22,148.87,149.95000000000002,147.16,146.935,50710000
2023-02-23,150.09,150.34,147.24,147.419,48311000
2023-02-24,147.11,147.19,145.72,144.76500000000001,55216000
2023-02-27,147.71,149.17000000000002,147.45000000000002,145.959,44881000
2023-02-28,147.05,149.08,146.83,145.455,50345000
2023-03-01,146.83,147.228,145.01,143.383,55211000
2023-03-02,144.38,146.71,143.9,143.975,51792000
2023-03-03,148.04500000000002,151.11,147.33,149.02700000000002,70490000
2023-03-06,153.785,156.3,153.46,151.79,87250000
2023-03-07,153.70000000000002,154.03,151.13,149.59,55563000
2023-03-08,152.81,153.47,151.83,150.843,47066000
2023-03-09,153.559,154.535,150.225,148.593,53450000
2023-03-10,150.21,150.94,147.61,146.531,68164000
2023-03-13,147.805,153.14000000000001,147.70000000000002,148.475,84312000
2023-03-14,151.28,153.4,150.1,150.567,73015000
2023-03-15,151.19,153.245,149.92000000000002,150.961,75960000
2023-03-16,152.16,156.46,151.64000000000001,153.78300000000002,76017000
2023-03-17,156.08,156.74,154.28,152.945,98421000
2023-03-20,155.07,157.82,154.15,155.31300000000002,73514000
2023-03-21,157.32,159.4,156.54,157.168,73756000
2023-03-22,159.3,162.14000000000001,157.81,155.737,69165000
2023-03-23,158.83,161.55,157.68,156.823,67220000
2023-03-24,158.86,160.34,157.85,158.125,57078000
2023-03-27,159.94,160.77,157.87,156.181,50401000
2023-03-28,157.97,158.49,155.98,155.56,45580000
