,period_open,period_close,short_value,long_exposure,pnl,ending_exposure,short_exposure,capital_used,orders,transactions,gross_leverage,positions,starting_exposure,starting_value,net_leverage,ending_value,returns,starting_cash,ending_cash,portfolio_value,longs_count,shorts_count,long_value,benchmark_period_return,benchmark_volatility,alpha,beta,algorithm_period_return,sharpe,sortino,algo_volatility,max_drawdown,max_leverage,excess_return,treasury_period_return,trading_days,period_label
2023-01-03 21:00:00+00:00,2023-01-03 14:31:00+00:00,2023-01-03 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,0.0,"[{'id': '0b2fe55a6944456aa8c024266be6fa78', 'dt': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 161, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(194817 [META]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '8c8bd152cfef4d87a41aebf7f143f4ca', 'dt': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 225, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(195146 [GOOGL]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': '78c138fabf984d3eb4459ffb7dc74685', 'dt': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 208, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(199739 [XOM]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'ebe13c42db6b44deac3c7694d4f0a23f', 'dt': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 98, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(193960 [V]), 'status': <ORDER_STATUS.OPEN: 0>}, {'id': 'b8ad809a49e648cda4847c8372abcfc7', 'dt': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 185, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(194897 [TSLA]), 'status': <ORDER_STATUS.OPEN: 0>}]",[],0.0,[],0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,100000.0,0,0,0.0,0.0,,,,0.0,,,,0.0,0.0,0.0,0.0,1,2023-01
2023-01-04 21:00:00+00:00,2023-01-04 14:31:00+00:00,2023-01-04 21:00:00+00:00,0.0,101492.685,-51.62334250001004,101492.685,0.0,-101544.3083425,"[{'id': '0b2fe55a6944456aa8c024266be6fa78', 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 161, 'filled': 161, 'commission': 0.161, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(194817 [META]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '8c8bd152cfef4d87a41aebf7f143f4ca', 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 225, 'filled': 225, 'commission': 0.225, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(195146 [GOOGL]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': '78c138fabf984d3eb4459ffb7dc74685', 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 208, 'filled': 208, 'commission': 0.20800000000000002, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(199739 [XOM]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'ebe13c42db6b44deac3c7694d4f0a23f', 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 98, 'filled': 98, 'commission': 0.098, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(193960 [V]), 'status': <ORDER_STATUS.FILLED: 1>}, {'id': 'b8ad809a49e648cda4847c8372abcfc7', 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2023-01-03 21:00:00+0000', tz='UTC'), 'amount': 185, 'filled': 185, 'commission': 0.185, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Equity(194897 [TSLA]), 'status': <ORDER_STATUS.FILLED: 1>}]","[{'amount': 161, 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'price': 126.659298, 'order_id': '0b2fe55a6944456aa8c024266be6fa78', 'sid': Equity(194817 [META]), 'commission': None}, {'amount': 225, 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'price': 87.5167365, 'order_id': '8c8bd152cfef4d87a41aebf7f143f4ca', 'sid': Equity(195146 [GOOGL]), 'commission': None}, {'amount': 208, 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'price': 96.3751635, 'order_id': '78c138fabf984d3eb4459ffb7dc74685', 'sid': Equity(199739 [XOM]), 'commission': None}, {'amount': 98, 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'price': 207.959928, 'order_id': 'ebe13c42db6b44deac3c7694d4f0a23f', 'sid': Equity(193960 [V]), 'commission': None}, {'amount': 185, 'dt': Timestamp('2023-01-04 21:00:00+0000', tz='UTC'), 'price': 113.69682, 'order_id': 'b8ad809a49e648cda4847c8372abcfc7', 'sid': Equity(194897 [TSLA]), 'commission': None}]",1.0154510597785094,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 126.596}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 87.473}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 96.327}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 207.856}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 113.64}]",0.0,0.0,1.0154510597785094,101492.685,-0.0005162334250000677,100000.0,-1544.3083425000036,99948.37665749999,5,0,101492.685,0.0,0.0,,,-0.0005162334250000677,-11.224972160321824,-11.224972160321823,0.005794705823853346,-0.0005162334250000811,1.0154510597785094,0.0,0.0,2,2023-01
2023-01-05 21:00:00+00:00,2023-01-05 14:31:00+00:00,2023-01-05 21:00:00+00:00,0.0,100698.14300000001,-794.5419999999867,100698.14300000001,0.0,0.0,[],[],1.0155748725990719,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 126.169}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 85.60600000000001}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 98.483}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 206.39000000000001}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 110.34}]",101492.685,101492.685,1.0155748725990719,100698.14300000001,-0.007949523809903325,-1544.3083425000036,-1544.3083425000036,99153.8346575,5,0,100698.14300000001,0.0,0.0,,,-0.008461653424999938,-10.070875545806885,-9.739811257405515,0.07061189511253257,-0.008461653425000009,1.0155748725990719,0.0,0.0,3,2023-01
2023-01-06 21:00:00+00:00,2023-01-06 14:31:00+00:00,2023-01-06 21:00:00+00:00,0.0,102832.50200000001,2134.3589999999967,102832.50200000001,0.0,0.0,[],[],1.015246676702736,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 129.23}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 86.738}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 99.673}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 212.881}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 113.06}]",100698.14300000001,100698.14300000001,1.015246676702736,102832.50200000001,0.02152573329485996,-1544.3083425000036,-1544.3083425000036,101288.1936575,5,0,102832.50200000001,0.0,0.0,,,0.01288193657499992,4.079818254566794,13.012410130628355,0.20167037854107275,-0.008461653425000009,1.0155748725990719,0.0,0.0,4,2023-01
2023-01-09 21:00:00+00:00,2023-01-09 14:31:00+00:00,2023-01-09 21:00:00+00:00,0.0,103832.63399999999,1000.1319999999832,103832.63399999999,0.0,0.0,[],[],1.0150976011443469,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 128.683}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 87.413}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 97.815}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 213.71200000000002}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 119.77}]",102832.50200000001,102832.50200000001,1.0150976011443469,103832.63399999999,0.009874122184287959,-1544.3083425000036,-1544.3083425000036,102288.32565749998,5,0,103832.63399999999,0.0,0.0,,,0.022883256574999677,6.391562978602765,20.43817080732411,0.1808444280967731,-0.008461653425000009,1.0155748725990719,0.0,0.0,5,2023-01
2023-01-10 21:00:00+00:00,2023-01-10 14:31:00+00:00,2023-01-10 21:00:00+00:00,0.0,104857.61600000001,1024.9820000000182,104857.61600000001,0.0,0.0,[],[],1.0149478162834515,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 132.18200000000002}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 87.81}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 99.276}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 216.147}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 118.85000000000001}]",103832.63399999999,103832.63399999999,1.0149478162834515,104857.61600000001,0.010020517917480154,-1544.3083425000036,-1544.3083425000036,103313.3076575,5,0,104857.61600000001,0.0,0.0,,,0.033133076574999976,8.361034260806445,26.809331837535463,0.16554098878419582,-0.008461653425000009,1.0155748725990719,0.0,0.0,6,2023-01
2023-01-11 21:00:00+00:00,2023-01-11 14:31:00+00:00,2023-01-11 21:00:00+00:00,0.0,106679.868,1822.2519999999931,106679.868,0.0,0.0,[],[],1.0146887346919624,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 132.083}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 90.889}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 100.431}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 217.13400000000001}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 123.22}]",104857.61600000001,104857.61600000001,1.0146887346919624,106679.868,0.017638114985545128,-1544.3083425000036,-1544.3083425000036,105135.5596575,5,0,106679.868,0.0,0.0,,,0.051355596574999884,10.85609009996298,38.10521904481132,0.16777111322131755,-0.008461653425000009,1.0155748725990719,0.0,0.0,7,2023-01
2023-01-12 21:00:00+00:00,2023-01-12 14:31:00+00:00,2023-01-12 21:00:00+00:00,0.0,107759.421,1079.5529999999999,107759.421,0.0,0.0,[],[],1.0145394407995383,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 135.879}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 90.502}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 102.099}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 218.62}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 123.56}]",106679.868,106679.868,1.0145394407995383,107759.421,0.010268200440620268,-1544.3083425000036,-1544.3083425000036,106215.1126575,5,0,107759.421,0.0,0.0,,,0.06215112657499988,12.268734351693697,42.87843838758965,0.1562605636459868,-0.008461653425000009,1.0155748725990719,0.0,0.0,8,2023-01
2023-01-13 21:00:00+00:00,2023-01-13 14:31:00+00:00,2023-01-13 21:00:00+00:00,0.0,107742.595,-16.82600000000093,107742.595,0.0,0.0,[],[],1.014541744420798,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 136.148}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 91.485}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 102.036}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 218.073}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 122.4}]",107759.421,107759.421,1.014541744420798,107742.595,-0.00015841436853014645,-1544.3083425000036,-1544.3083425000036,106198.2866575,5,0,107742.595,0.0,0.0,,,0.06198286657499996,11.19418437447494,40.31298459193249,0.1518351337876549,-0.008461653425000009,1.0155748725990719,0.0,0.0,9,2023-01
2023-01-17 21:00:00+00:00,2023-01-17 14:31:00+00:00,2023-01-17 21:00:00+00:00,0.0,108932.236,1189.6410000000033,108932.236,0.0,0.0,[],[],1.0143806513095717,"[{'sid': Equity(194817 [META]), 'amount': 161, 'cost_basis': 126.66029800000001, 'last_sale_price': 134.538}, {'sid': Equity(195146 [GOOGL]), 'amount': 225, 'cost_basis': 87.51773649999998, 'last_sale_price': 90.66}, {'sid': Equity(199739 [XOM]), 'amount': 208, 'cost_basis': 96.37616349999999, 'last_sale_price': 101.837}, {'sid': Equity(193960 [V]), 'amount': 98, 'cost_basis': 207.96092800000002, 'last_sale_price': 218.014}, {'sid': Equity(194897 [TSLA]), 'amount': 185, 'cost_basis': 113.69782000000001, 'last_sale_price': 131.49}]",107742.595,107742.595,1.0143806513095717,108932.236,0.011202073380305322,-1544.3083425000036,-1544.3083425000036,107387.9276575,5,0,108932.236,0.0,0.0,,,0.07387927657500004,12.506032179790031,45.301869465300044,0.14488973457463045,-0.008461653425000009,1.0155748725990719,0.0,0.0,10,2023-01
